step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
0,0.000000,0.000e0,0.0000,0.000000,0.00000000e0,0.00000000e0,0.00000000e0,0,0.000e0,0
1,0.000781,7.813e-4,0.4000,0.019490,3.74240118e-7,1.46042871e0,-7.69591208e-2,3,6.395e-14,-1
2,0.001563,7.813e-4,0.4000,0.057029,3.20545429e-6,4.99488059e0,-1.45122326e-1,3,1.705e-13,-1
3,0.002344,7.813e-4,0.4000,0.091711,8.29882808e-6,9.64968892e0,-2.05601904e-1,3,2.984e-13,-1
4,0.003125,7.813e-4,0.4000,0.123808,1.51505968e-5,1.47911814e1,-2.59362708e-1,3,3.553e-13,-1
5,0.003906,7.813e-4,0.4000,0.153559,2.33627462e-5,2.00088655e1,-3.07242239e-1,3,4.547e-13,-1
6,0.004687,7.813e-4,0.4000,0.181184,3.26204447e-5,2.50466106e1,-3.49967936e-1,3,4.832e-13,-1
7,0.005469,7.813e-4,0.4000,0.206874,4.26744195e-5,2.97539061e1,-3.88172086e-1,3,5.651e-13,-1
8,0.006250,7.813e-4,0.4000,0.230805,5.33271633e-5,3.40514923e1,-4.22404668e-1,3,5.918e-13,-1
9,0.007031,7.813e-4,0.4000,0.253132,6.44221202e-5,3.79072594e1,-4.53144432e-1,3,7.948e-13,-1
10,0.007812,7.813e-4,0.4000,0.273997,7.58351868e-5,4.13194647e1,-4.80808455e-1,3,8.146e-13,-1
11,0.008594,7.813e-4,0.4000,0.293524,8.74680221e-5,4.43051478e1,-5.05760384e-1,3,8.090e-13,-1
12,0.009375,7.813e-4,0.4000,0.311829,9.92427691e-5,4.68922247e1,-5.28317553e-1,3,9.097e-13,-1
13,0.010156,7.813e-4,0.4000,0.329013,1.11097882e-4,4.91141734e1,-5.48757129e-1,3,9.948e-13,-1
14,0.010938,7.813e-4,0.4000,0.345170,1.22984821e-4,5.10065334e1,-5.67321416e-1,3,1.031e-12,-1
15,0.011719,7.813e-4,0.4000,0.360382,1.34865431e-4,5.26046669e1,-5.84222452e-1,3,1.203e-12,-1
16,0.012500,7.813e-4,0.4000,0.374725,1.46709854e-4,5.39423877e1,-5.99645967e-1,3,1.006e-12,-1
17,0.013281,7.813e-4,0.4000,0.388269,1.58494868e-4,5.50511823e1,-6.13754817e-1,3,1.057e-12,-1
18,0.014063,7.813e-4,0.4000,0.401074,1.70202565e-4,5.59598250e1,-6.26691958e-1,3,1.080e-12,-1
19,0.014844,7.813e-4,0.4000,0.413198,1.81819284e-4,5.66942533e1,-6.38583012e-1,3,1.279e-12,-1
20,0.015625,7.813e-4,0.4000,0.424691,1.93334772e-4,5.72776074e1,-6.49538497e-1,3,1.152e-12,-1
21,0.016406,7.813e-4,0.4000,0.435601,2.04741496e-4,5.77303689e1,-6.59655759e-1,3,1.143e-12,-1
22,0.017188,7.813e-4,0.4000,0.445969,2.16034098e-4,5.80705546e1,-6.69020646e-1,3,1.495e-12,-1
23,0.017969,7.813e-4,0.4000,0.455834,2.27208961e-4,5.83139373e1,-6.77708962e-1,3,1.224e-12,-1
24,0.018750,7.813e-4,0.4000,0.465232,2.38263848e-4,5.84742723e1,-6.85787727e-1,3,1.560e-12,-1
25,0.019531,7.813e-4,0.4000,0.474195,2.49197624e-4,5.85635188e1,-6.93316277e-1,3,1.856e-12,-1
26,0.020313,7.813e-4,0.4000,0.482753,2.60010019e-4,5.85920499e1,-7.00347215e-1,3,1.814e-12,-1
27,0.021094,7.813e-4,0.4000,0.490932,2.70701450e-4,5.85688455e1,-7.06927241e-1,3,1.713e-12,-1
28,0.021875,7.813e-4,0.4000,0.498758,2.81272867e-4,5.85016671e1,-7.13097874e-1,3,1.693e-12,-1
29,0.022656,7.813e-4,0.4000,0.506253,2.91725635e-4,5.83972154e1,-7.18896081e-1,3,1.634e-12,-1
30,0.023438,7.813e-4,0.4000,0.513438,3.02061432e-4,5.82612693e1,-7.24354826e-1,3,1.690e-12,-1
31,0.024219,7.813e-4,0.4000,0.520332,3.12282177e-4,5.80988089e1,-7.29503550e-1,3,1.814e-12,-1
32,0.025000,7.813e-4,0.4000,0.526954,3.22389961e-4,5.79141228e1,-7.34368585e-1,3,1.867e-12,-1
33,0.025781,7.813e-4,0.4000,0.533320,3.32387001e-4,5.77109025e1,-7.38973524e-1,3,1.879e-12,-1
34,0.026563,7.813e-4,0.4000,0.539445,3.42275595e-4,5.74923237e1,-7.43339534e-1,3,1.799e-12,-1
